Problem type,Reported date,Primary action type,Primary action date,Assessment status,Repair date,Lat,Lng,Case status,Last updated
Other - road related,2022-03-11 00:00:00,Assess,18/03/2022,,,57.1162745389953,-2.10844159126282,open,11/03/2022
Other - road related,2022-03-15 00:00:00,Assess,22/03/2022,,,57.1415856487726,-2.13284969329834,open,15/03/2022
Markings - defective,2022-03-16 00:00:00,Assess,23/03/2022,,,57.132474504462,-2.10247099399567,open,16/03/2022
Pothole,2022-03-17 00:00:00,Assess,24/03/2022,,,57.2022743465415,-2.17956304550171,open,17/03/2022
Markings - defective,2022-03-19 00:00:00,Assess,26/03/2022,Assessed,18/04/2022,57.1582903244342,-2.09458161120892,open,22/03/2022
Other - road related,2022-03-21 00:00:00,Assess,28/03/2022,,,57.2020367385773,-2.17563092708588,open,21/03/2022
Markings - defective,2022-03-21 00:00:00,Assess,28/03/2022,,,57.1691047094588,-2.15948939323425,open,21/03/2022
Other - road related,2022-03-22 00:00:00,Assess,29/03/2022,,,57.1524597113439,-2.15358853340149,open,22/03/2022
"Utility cover - broken, high/low or missing",2022-03-23 00:00:00,Make safe,23/03/2022,,,57.2051138408928,-2.21652925014496,open,23/03/2022
Other - road related,2022-03-23 00:00:00,Assess,30/03/2022,,,57.1063165775411,-2.09287405014038,open,23/03/2022
Markings - defective,2022-03-23 00:00:00,Assess,30/03/2022,Assessed,22/04/2022,57.1511036497985,-2.1015204741434,open,23/03/2022
Pothole,2022-03-24 00:00:00,Assess,31/03/2022,,,57.1787453087466,-2.10675716400146,open,24/03/2022
Other - road related,2022-03-24 00:00:00,Assess,31/03/2022,,,57.1355497778198,-2.07401275634766,open,24/03/2022
Markings - defective,2022-03-25 00:00:00,Assess,01/04/2022,Assessed,24/04/2022,57.1364471301487,-2.11874304594858,open,29/03/2022
Markings - defective,2022-03-25 00:00:00,Assess,01/04/2022,Assessed,25/04/2022,57.1529748956294,-2.09970295430253,open,26/04/2022
Markings - defective,2022-03-26 00:00:00,Assess,02/04/2022,,,57.0895085045996,-2.10555553436279,open,26/03/2022
Markings - defective,2022-03-28 00:00:00,Assess,04/04/2022,,,57.1216734681943,-2.14575359737864,open,28/03/2022
Other - road related,2022-03-28 00:00:00,Assess,04/04/2022,,,57.1681113329945,-2.13719455635328,open,28/03/2022
Pothole,2022-03-29 00:00:00,Assess,05/04/2022,,,57.143036936273,-2.12399840354919,open,29/03/2022
Other - road related,2022-03-29 00:00:00,Assess,05/04/2022,,,57.1680731999317,-2.13745973807818,open,29/03/2022
Markings - defective,2022-03-29 00:00:00,Assess,05/04/2022,,,57.168000629451,-2.13711440563202,open,29/03/2022
Markings - defective,2022-03-30 00:00:00,Assess,06/04/2022,Assessed,29/04/2022,57.1819731426477,-2.09120571613312,open,31/03/2022
Other - road sign related,2022-03-30 00:00:00,Assess,06/04/2022,,,57.168012003608,-2.1372058572706,open,30/03/2022
Markings - defective,2022-03-31 00:00:00,Assess,07/04/2022,Assessed,30/04/2022,57.1581909468217,-2.09456920623779,open,31/03/2022
Other - road related,2022-03-31 00:00:00,Assess,07/04/2022,,,57.1289279804475,-2.10733115673065,open,31/03/2022
Markings - defective,2022-04-02 00:00:00,Assess,09/04/2022,Assessed,03/05/2022,57.1355518159244,-2.11505256586065,open,22/04/2022
Pothole,2022-04-04 00:00:00,Assess,11/04/2022,,,57.1222215042379,-2.11726605892181,open,04/04/2022
Uneven surface or cracking,2022-04-04 00:00:00,Assess,11/04/2022,,,57.2220108725413,-2.27661609649658,open,04/04/2022
Markings - defective,2022-04-04 00:00:00,Assess,11/04/2022,,,57.1657930066019,-2.1218204498291,open,04/04/2022
Markings - defective,2022-04-06 00:00:00,Assess,13/04/2022,,,57.1304614751732,-2.08524584770203,open,06/04/2022
Other - road related,2022-04-06 00:00:00,Assess,13/04/2022,,,57.122690953812,-2.19175100326538,open,06/04/2022
Other - road related,2022-04-07 00:00:00,Assess,14/04/2022,,,57.1418902846172,-2.13273704051971,open,07/04/2022
Pothole,2022-04-08 00:00:00,Assess,15/04/2022,,,57.1348577977813,-2.11533486843109,open,08/04/2022
Other - road related,2022-04-08 00:00:00,Assess,15/04/2022,,,57.1539325760339,-2.11267411708832,open,08/04/2022
Other - road related,2022-04-09 00:00:00,Assess,16/04/2022,,,57.1229501055199,-2.10014283657074,open,09/04/2022
Pothole,2022-04-10 00:00:00,Assess,17/04/2022,,,57.1484237061285,-2.22423791885376,open,10/04/2022
Markings - defective,2022-04-12 00:00:00,Assess,19/04/2022,Assessed,12/05/2022,57.1433202756829,-2.11269021034241,open,13/04/2022
Pothole,2022-04-13 00:00:00,Assess,20/04/2022,,,57.1673662751408,-2.1677827835083,open,13/04/2022
Other - road related,2022-04-14 00:00:00,Assess,21/04/2022,,,57.162691750391,-2.15761721134186,open,14/04/2022
Pothole,2022-04-14 00:00:00,Assess,21/04/2022,,,57.1168595396042,-2.07390535078162,open,14/04/2022
Markings - defective,2022-04-15 00:00:00,Assess,22/04/2022,Assessed,15/05/2022,57.1467369375609,-2.09595322608948,open,20/04/2022
Other - road related,2022-04-15 00:00:00,Assess,22/04/2022,,,57.1840402537112,-2.12863326072693,open,15/04/2022
Other - road related,2022-04-18 00:00:00,Assess,25/04/2022,,,57.1895913871865,-2.17945575714111,open,18/04/2022
Pothole,2022-04-18 00:00:00,Assess,25/04/2022,,,57.150145298337,-2.17314434530635,open,18/04/2022
Pothole,2022-04-20 00:00:00,Assess,27/04/2022,,,57.1510033801476,-2.09409713745117,open,20/04/2022
Pothole,2022-04-21 00:00:00,Assess,28/04/2022,,,57.1668017762009,-2.13869154453278,open,21/04/2022
Other - road related,2022-04-21 00:00:00,Assess,28/04/2022,,,57.1350470171123,-2.11610198020935,open,21/04/2022
Markings - defective,2022-04-21 00:00:00,Assess,28/04/2022,Assessed,22/05/2022,57.1199471094973,-2.11762011051178,open,27/04/2022
Pothole,2022-04-22 00:00:00,Assess,29/04/2022,,,57.1568570367458,-2.16211795806885,open,22/04/2022
Other - road related,2022-04-22 00:00:00,Assess,29/04/2022,,,57.1303048404923,-2.24953651428223,open,22/04/2022
Markings - defective,2022-04-23 00:00:00,Assess,30/04/2022,Assessed,23/05/2022,57.1563187870024,-2.0913290977478,open,25/04/2022
Pothole,2022-04-24 00:00:00,Assess,01/05/2022,,,57.1697016110011,-2.12539422404006,open,24/04/2022
Markings - defective,2022-04-24 00:00:00,Assess,01/05/2022,Assessed,24/05/2022,57.1501734907279,-2.09157523839167,open,25/04/2022
Other - road related,2022-04-25 00:00:00,Assess,02/05/2022,,,57.1888578449055,-2.10058808326721,open,25/04/2022
Pothole,2022-04-25 00:00:00,Assess,02/05/2022,,,57.1071636453674,-2.07820236682892,open,25/04/2022
Other - road related,2022-04-26 00:00:00,Assess,03/05/2022,,,57.1483690525165,-2.22349226474762,open,26/04/2022
Markings - defective,2022-04-26 00:00:00,Assess,03/05/2022,,,57.1490598949757,-2.11059054358003,open,26/04/2022
Pothole,2022-04-27 00:00:00,Assess,04/05/2022,,,57.1748231122931,-2.18655221164227,open,27/04/2022
Other - road related,2022-04-27 00:00:00,Assess,04/05/2022,,,57.1461108147236,-2.13429808616638,open,27/04/2022
Other - road related,2022-04-28 00:00:00,Assess,05/05/2022,Assessed,28/05/2022,57.1613721990643,-2.21827536821365,open,06/05/2022
Markings - defective,2022-05-02 00:00:00,Assess,09/05/2022,Assessed,01/06/2022,57.1536648942725,-2.11223423480988,open,05/05/2022
Markings - defective,2022-05-03 00:00:00,Assess,10/05/2022,,,57.1387889414298,-2.09960371255875,open,03/05/2022
Markings - defective,2022-05-03 00:00:00,Assess,10/05/2022,Assessed,02/06/2022,57.1672263479372,-2.10195064544678,open,04/05/2022
Other - road related,2022-05-03 00:00:00,Assess,10/05/2022,,,57.1446870682796,-2.09778785705566,open,03/05/2022
Markings - defective,2022-05-04 00:00:00,Assess,11/05/2022,,,57.154441674342,-2.09588485357926,open,04/05/2022
Pothole,2022-05-04 00:00:00,Assess,11/05/2022,,,57.1735501286781,-2.09486156702042,open,04/05/2022
Markings - defective,2022-05-05 00:00:00,Assess,12/05/2022,Assessed,04/06/2022,57.140055211898,-2.09667071700096,open,05/05/2022
"Cobbles - damaged, missing or uneven",2022-05-05 00:00:00,Assess,12/05/2022,,,57.1473542024356,-2.09754914045334,open,05/05/2022
Markings - defective,2022-05-09 00:00:00,Assess,16/05/2022,,,57.1401591077502,-2.09993465407933,open,09/05/2022
Markings - defective,2022-05-10 00:00:00,Assess,17/05/2022,Assessed,09/06/2022,57.1389302345106,-2.14382177218795,open,12/05/2022
Pothole,2022-05-11 00:00:00,Assess,18/05/2022,,,57.1349287854156,-2.11526781320572,open,11/05/2022
Other - road related,2022-05-11 00:00:00,Assess,18/05/2022,,,57.1447651006438,-2.11443901062012,open,11/05/2022
Other - road related,2022-05-12 00:00:00,Assess,19/05/2022,,,57.1098519510887,-2.22945883870125,open,12/05/2022
Markings - defective,2022-05-14 00:00:00,Assess,21/05/2022,,,57.1841411188131,-2.12938087865098,open,14/05/2022
Pothole,2022-05-16 00:00:00,Assess,23/05/2022,,,57.2157463443716,-2.19584137201309,open,16/05/2022
Crash barrier - damaged or broken,2022-05-16 00:00:00,Assess,23/05/2022,,,57.1294827839594,-2.12702929973602,open,16/05/2022
Pothole,2022-05-17 00:00:00,Assess,24/05/2022,,,57.1441907108351,-2.12548702955246,open,17/05/2022
Other - road related,2022-05-18 00:00:00,Assess,25/05/2022,,,57.1702156031597,-2.16387748718262,open,18/05/2022
Other - road related,2022-05-19 00:00:00,Assess,26/05/2022,,,57.1282658720463,-2.11831212043762,open,19/05/2022
"Cobbles - damaged, missing or uneven",2022-05-19 00:00:00,Assess,26/05/2022,,,57.164154551054,-2.10204720497131,open,19/05/2022
Other - road related,2022-05-20 00:00:00,Assess,27/05/2022,,,57.1743832700473,-2.14689373970032,open,20/05/2022
Pothole,2022-05-21 00:00:00,Assess,28/05/2022,,,57.1408633831709,-2.13215366005897,open,21/05/2022
Lit bollard - damaged or missing,2022-05-22 00:00:00,Assess,29/05/2022,Assessed,22/06/2022,57.1431912342602,-2.12628364562988,open,23/05/2022
Pothole,2022-05-23 00:00:00,Assess,30/05/2022,,,57.1916758809806,-2.10880905389786,open,23/05/2022
Pothole,2022-05-25 00:00:00,Assess,01/06/2022,,,57.1728827448122,-2.14280605316162,open,25/05/2022
Other - road related,2022-05-25 00:00:00,Assess,01/06/2022,,,57.1469803144314,-2.09725141525269,open,25/05/2022
Other - road related,2022-05-26 00:00:00,Assess,02/06/2022,,,57.1493772365009,-2.12252587080002,open,26/05/2022
Markings - defective,2022-05-27 00:00:00,Assess,03/06/2022,Assessed,27/06/2022,57.1352906883463,-2.12733327469323,open,31/05/2022
Other - road related,2022-05-30 00:00:00,Assess,06/06/2022,,,57.1341968567126,-2.10248708724976,open,30/05/2022
Uneven surface or cracking,2022-05-31 00:00:00,Assess,07/06/2022,,,57.1694086036863,-2.12704002857208,open,31/05/2022
Other - road related,2022-06-02 00:00:00,Assess,09/06/2022,,,57.1203231724017,-2.14350440296585,open,02/06/2022
Markings - defective,2022-06-07 00:00:00,Assess,14/06/2022,Assessed,07/07/2022,57.1459862675167,-2.1713125705719,open,08/06/2022
Pothole,2022-06-08 00:00:00,Assess,15/06/2022,,,57.1925322271023,-2.10691273212433,open,08/06/2022
Oil or Fuel spill,2022-06-09 00:00:00,Make safe,09/06/2022,,,57.1111541908548,-2.20529079437256,open,09/06/2022
Other - road related,2022-06-11 00:00:00,Assess,18/06/2022,,,57.1735181403279,-2.09502518177032,open,11/06/2022
Other - road related,2022-06-14 00:00:00,Assess,21/06/2022,,,57.1491287213737,-2.11314082145691,open,14/06/2022
Markings - defective,2022-06-15 00:00:00,Assess,22/06/2022,Assessed,15/07/2022,57.1828355305727,-2.18472361564636,open,15/06/2022
Markings - defective,2022-06-16 00:00:00,Assess,23/06/2022,Assessed,16/07/2022,57.147929283127,-2.10793588714296,open,16/06/2022
Markings - defective,2022-06-18 00:00:00,Assess,25/06/2022,,,57.1342315627772,-2.10235029459,open,18/06/2022
Markings - defective,2022-06-18 00:00:00,Assess,25/06/2022,Assessed,18/07/2022,57.1796197178377,-2.16996341943741,open,20/06/2022
Markings - defective,2022-06-20 00:00:00,Assess,27/06/2022,,,57.1363799094437,-2.10160195827484,open,20/06/2022
Pothole,2022-06-23 00:00:00,Assess,30/06/2022,,,57.1837076194262,-2.18310356140137,open,23/06/2022
Markings - defective,2022-06-24 00:00:00,Assess,01/07/2022,,,57.1528916072279,-2.10339568555355,open,24/06/2022
Markings - defective,2022-06-27 00:00:00,Assess,04/07/2022,Assessed,27/07/2022,57.1837250628103,-2.12919116020203,open,27/06/2022
Markings - defective,2022-06-29 00:00:00,Assess,06/07/2022,Assessed,29/07/2022,57.1523293877755,-2.1043230475334,open,29/06/2022
Pothole,2022-07-01 00:00:00,Assess,08/07/2022,,,57.1349271782557,-2.11518466472626,open,01/07/2022
Markings - defective,2022-07-02 00:00:00,Assess,09/07/2022,Assessed,01/08/2022,57.1381810982297,-2.09781400859356,open,04/07/2022
Markings - defective,2022-07-05 00:00:00,Assess,12/07/2022,,,57.1516505468108,-2.15176463127136,open,05/07/2022
Markings - defective,2022-07-05 00:00:00,Assess,12/07/2022,Assessed,04/08/2022,57.1528377071218,-2.1588322520256,open,05/07/2022
"Cobbles - damaged, missing or uneven",2022-07-05 00:00:00,Assess,12/07/2022,,,57.1473375982245,-2.09757462143898,open,05/07/2022
Uneven surface or cracking,2022-07-05 00:00:00,Assess,12/07/2022,,,57.1695293003688,-2.12626218795776,open,05/07/2022
Pothole,2022-07-05 00:00:00,Assess,12/07/2022,,,57.1349283424877,-2.1152540384503,open,05/07/2022
Other - road related,2022-07-08 00:00:00,Assess,15/07/2022,,,57.153050980284,-2.169560249813,open,08/07/2022
Markings - defective,2022-07-08 00:00:00,Assess,15/07/2022,Assessed,07/08/2022,57.1495438373115,-2.1223247051239,open,11/07/2022
Pothole,2022-07-08 00:00:00,Assess,15/07/2022,,,57.1514276815712,-2.12541997432709,open,08/07/2022
Other - road related,2022-07-10 00:00:00,Assess,17/07/2022,,,57.1410730671939,-2.10529468429741,open,10/07/2022
"Utility cover - broken, high/low or missing",2022-07-12 00:00:00,Make safe,12/07/2022,,,57.1536888074978,-2.21832096576691,open,12/07/2022
Markings - defective,2022-07-12 00:00:00,Assess,19/07/2022,,,57.1370453660371,-2.12626498983809,open,12/07/2022
Pothole,2022-07-14 00:00:00,Assess,21/07/2022,,,57.1925477702596,-2.10685640573502,open,14/07/2022
Markings - defective,2022-07-15 00:00:00,Assess,22/07/2022,Assessed,14/08/2022,57.1593973478324,-2.11258694529533,open,15/07/2022
Markings - defective,2022-07-16 00:00:00,Assess,23/07/2022,Assessed,15/08/2022,57.1250127981544,-2.08862721909099,open,19/07/2022
Markings - defective,2022-07-17 00:00:00,Assess,24/07/2022,Assessed,17/08/2022,57.1453736655869,-2.14903682470322,open,20/07/2022
Pothole,2022-07-18 00:00:00,Assess,25/07/2022,,,57.1516418862799,-2.10532687604427,open,18/07/2022
Pothole,2022-07-19 00:00:00,Assess,26/07/2022,,,57.1195155180481,-2.10545891895208,open,19/07/2022
Markings - defective,2022-07-20 00:00:00,Assess,27/07/2022,,,57.1565738064969,-2.11895987391472,open,20/07/2022
Markings - defective,2022-07-21 00:00:00,Assess,28/07/2022,,,57.172860873568,-2.14407205581665,open,21/07/2022
Markings - defective,2022-07-21 00:00:00,Assess,28/07/2022,Assessed,21/08/2022,57.1400267992793,-2.09665841352944,open,25/07/2022
Other - road related,2022-07-28 00:00:00,Assess,04/08/2022,,,57.1802323454418,-2.09641054272652,open,28/07/2022
"Cobbles - damaged, missing or uneven",2022-07-28 00:00:00,Assess,04/08/2022,,,57.1441400697462,-2.10017502307892,open,28/07/2022
Markings - defective,2022-07-29 00:00:00,Assess,05/08/2022,Assessed,28/08/2022,57.1448006380559,-2.12698370218277,open,04/08/2022
Other - road related,2022-07-31 00:00:00,Assess,07/08/2022,,,57.1008366380372,-2.26362079390128,open,31/07/2022
Markings - defective,2022-07-31 00:00:00,Assess,07/08/2022,,,57.1366951553626,-2.13593423366547,open,31/07/2022
Uneven surface or cracking,2022-08-02 00:00:00,Assess,09/08/2022,,,57.1246792306072,-2.10443705320358,open,02/08/2022
Markings - defective,2022-08-03 00:00:00,Assess,10/08/2022,Assessed,02/09/2022,57.1609226429812,-2.09640685477098,open,04/08/2022
Markings - defective,2022-08-03 00:00:00,Assess,10/08/2022,,,57.1680159508247,-2.10112184286118,open,03/08/2022
Markings - defective,2022-08-04 00:00:00,Assess,11/08/2022,Assessed,03/09/2022,57.1479055435272,-2.1078802196007,open,13/08/2022
Uneven surface or cracking,2022-08-05 00:00:00,Assess,12/08/2022,,,57.1398819706341,-2.13398158550262,open,05/08/2022
Uneven surface or cracking,2022-08-06 00:00:00,Assess,13/08/2022,,,57.1312722876455,-2.11981147527695,open,06/08/2022
Markings - defective,2022-08-07 00:00:00,Assess,14/08/2022,Assessed,06/09/2022,57.1811532325708,-2.17445161737487,open,13/08/2022
Markings - defective,2022-08-08 00:00:00,Assess,15/08/2022,Assessed,07/09/2022,57.1601061764555,-2.11444437503815,open,13/08/2022
Markings - defective,2022-08-08 00:00:00,Assess,15/08/2022,,,57.1146435288084,-2.18213260173798,open,08/08/2022
Other - road related,2022-08-10 00:00:00,Assess,17/08/2022,,,57.1558296453547,-2.09801316261292,open,10/08/2022
Markings - defective,2022-08-11 00:00:00,Assess,18/08/2022,,,57.2027230129104,-2.21281707286835,open,11/08/2022
Pothole,2022-08-11 00:00:00,Assess,18/08/2022,,,57.1643590188572,-2.22029507160187,open,11/08/2022
Other - road related,2022-08-13 00:00:00,Assess,20/08/2022,,,57.155715238057,-2.1515554189682,open,13/08/2022
"Cobbles - damaged, missing or uneven",2022-08-14 00:00:00,Assess,21/08/2022,,,57.1441306509167,-2.10003018379211,open,14/08/2022
Uneven surface or cracking,2022-08-14 00:00:00,Assess,21/08/2022,,,57.2054406604388,-2.19079211354256,open,14/08/2022
Markings - defective,2022-08-15 00:00:00,Assess,22/08/2022,,,57.2102236781656,-2.21052646636963,open,15/08/2022
Other - road related,2022-08-15 00:00:00,Assess,22/08/2022,,,57.0972083192501,-2.10067391395569,open,15/08/2022
